0.000000000000000000e+00,0.000000000000000000e+00
8.163265306122449161e+00,8.154201809487691133e-01
1.632653061224489832e+01,1.625409508359935362e+00
2.448979591836734926e+01,2.424573299213667710e+00
3.265306122448979664e+01,3.207588970623151514e+00
4.081632653061224403e+01,3.969241489249223598e+00
4.897959183673469852e+01,4.704458104414570130e+00
5.714285714285714590e+01,5.408342133588316614e+00
6.530612244897959329e+01,6.076205575223266209e+00
7.346938775510204778e+01,6.703600331738099882e+00
8.163265306122448806e+01,7.286347834693503778e+00
8.979591836734694255e+01,7.820566874852944217e+00
9.795918367346939704e+01,8.302699451774575579e+00
1.061224489795918373e+02,8.729534470771088905e+00
1.142857142857142918e+02,9.098229129411240734e+00
1.224489795918367321e+02,9.406327851124867578e+00
1.306122448979591866e+02,9.651778639810032701e+00
1.387755102040816269e+02,9.832946746517443160e+00
1.469387755102040956e+02,9.948625557189465951e+00
1.551020408163265358e+02,9.998044628939299017e+00
1.632653061224489761e+02,9.980874821347182291e+00
1.714285714285714448e+02,9.897230488598214748e+00
1.795918367346938851e+02,9.747668717861708743e+00
1.877551020408163254e+02,9.533185618984681753e+00
1.959183673469387941e+02,9.255209690210742579e+00
2.040816326530612344e+02,8.915592304110036892e+00
2.122448979591836746e+02,8.516595377085701912e+00
2.204081632653061149e+02,8.060876304580295582e+00
2.285714285714285836e+02,7.551470262316577475e+00
2.367346938775510239e+02,6.991769991449780619e+00
2.448979591836734642e+02,6.385503202266020750e+00
2.530612244897959329e+02,5.736707746922622420e+00
2.612244897959183731e+02,5.049704726584550940e+00
2.693877551020408418e+02,4.329069712068565501e+00
2.775510204081632537e+02,3.579602269671093850e+00
2.857142857142857224e+02,2.806293995143568587e+00
2.938775510204081911e+02,2.014295268715101894e+00
3.020408163265306030e+02,1.208880952580299928e+00
3.102040816326530717e+02,3.954152593134900862e-01
3.183673469387755404e+02,-4.206839748075119068e-01
3.265306122448979522e+02,-1.233981373621787059e+00
3.346938775510204209e+02,-2.039060221724612987e+00
3.428571428571428896e+02,-2.830558540822560420e+00
3.510204081632653015e+02,-3.603204801529046541e+00
3.591836734693877702e+02,-4.351853032752969419e+00
3.673469387755102389e+02,-5.071517094845146900e+00
3.755102040816326507e+02,-5.757403888237021761e+00
3.836734693877551194e+02,-6.404945276395662468e+00
3.918367346938775881e+02,-7.009828510482135400e+00
4.000000000000000000e+02,-7.568024953079282469e+00
